iter	RMSE
0	0.4679512002
1	0.4672519116
2	0.4665126817
3	0.4658887631
4	0.4653621899
5	0.4648815632
6	0.4644776572
7	0.4640771702
8	0.4637244732
9	0.4633973298
10	0.4630849656
11	0.4628170743
12	0.4625537565
13	0.4623588928
14	0.4621723127
15	0.461953992
16	0.4618302933
17	0.4616336986
18	0.4614702611
19	0.4613012343
20	0.461173299
21	0.4610338801
22	0.4609225812
23	0.4608204154
24	0.4607352287
25	0.46062778
26	0.4605354989
27	0.4604576824
28	0.4604183295
29	0.4603498499
30	0.4602540499
31	0.4601937253
32	0.4600907717
33	0.4600270665
34	0.4599534779
35	0.4599073068
36	0.4598187783
37	0.4597279127
38	0.4596516913
39	0.4595899345
40	0.459566158
41	0.4595371133
42	0.4594925587
43	0.4594370024
44	0.4593726565
45	0.4593475292
46	0.4593338742
47	0.459292942
48	0.4592720702
49	0.459246064
50	0.4592174496
51	0.4591973481
52	0.4591528908
53	0.4591153023
54	0.4590765995
55	0.4590345456
56	0.4590034489
57	0.4589748876
58	0.4589213433
59	0.4588907548
60	0.4588446783
61	0.4588092606
62	0.4587775368
63	0.4587434583
64	0.4587176462
65	0.4586892175
66	0.458667505
67	0.4586419322
68	0.4586210773
69	0.4585958954
70	0.4585602893
71	0.4585382593
72	0.4584816477
73	0.4584714355
74	0.4584646791
75	0.4584365746
76	0.4583893689
77	0.4583487219
78	0.4583203614
79	0.458284497
80	0.4582713126
81	0.4582428142
82	0.458216876
83	0.4582014958
84	0.4581700414
85	0.4581447135
86	0.4581148961
87	0.4580967034
88	0.4580770653
89	0.4580362977
90	0.4580108401
91	0.4579838413
92	0.4579537165
93	0.4579428965
94	0.4579133133
95	0.4578925214
96	0.4578645073
97	0.457854163
98	0.4578416128
99	0.4578109809
100	0.4577686346
101	0.4577402287
102	0.4577120733
103	0.4576920256
104	0.457681606
105	0.4576585476
106	0.4576351207
107	0.4576308511
108	0.4576118935
109	0.457590205
110	0.4575771286
111	0.4575470346
112	0.4575318394
113	0.4575198423
114	0.4574729271
115	0.4574483834
116	0.4574294376
117	0.457414476
118	0.4573864406
119	0.4573693414
120	0.4573512966
121	0.4573320032
122	0.4572905454
123	0.4572646051
124	0.4572451893
125	0.4572232767
126	0.4571840815
127	0.4571305689
128	0.4570974159
129	0.4570795736
130	0.4570604974
131	0.4570295986
132	0.4569704731
133	0.4569259893
134	0.4568810164
135	0.4568558442
136	0.4568227433
137	0.4567957366
138	0.4567734142
139	0.4567529858
140	0.4567168078
141	0.456690858
142	0.4566510191
143	0.4566018101
144	0.4565854502
145	0.4565590878
146	0.4565411828
147	0.4565165198
148	0.4564890491
149	0.4564599948
150	0.456430267
151	0.4563908047
152	0.456361991
153	0.4563423782
154	0.4563339755
155	0.4563040879
156	0.456271513
157	0.4562521535
158	0.4562388709
159	0.4562208097
160	0.4561782906
161	0.4561495185
162	0.4561261345
163	0.456101958
164	0.456087462
165	0.4560713326
166	0.4560363753
167	0.4560042748
168	0.4559908407
169	0.4559568469
170	0.4559226944
171	0.4558925802
172	0.4558827656
173	0.4558707736
174	0.4558381483
175	0.4558218957
176	0.4557908183
177	0.455783505
178	0.4557678008
179	0.455760674
180	0.455752054
181	0.4557509262
182	0.4557338389
183	0.4557250416
184	0.4557077442
185	0.4556914154
186	0.4556761885
187	0.4556588535
188	0.4556520363
189	0.4556404397
190	0.4556326576
191	0.4556197363
192	0.455610168
193	0.4555951286
194	0.4555894035
195	0.455559855
196	0.455548619
197	0.4555190452
198	0.4554864751
199	0.45544548
200	0.4554188862
201	0.455414755
202	0.4554078055
203	0.4553731507
204	0.4553476167
205	0.4553093225
206	0.4552695069
207	0.4552642464
208	0.4552299322
209	0.4552244366
210	0.4552021317
211	0.4551622747
212	0.4551214994
213	0.4550852641
214	0.4550789434
215	0.4550612118
216	0.4550573456
217	0.4550456831
218	0.4550337846
219	0.4550274345
220	0.4549910172
221	0.4549629682
222	0.4549586751
223	0.4549536729
224	0.454913196
225	0.4549092468
226	0.4548844941
227	0.4548800701
228	0.4548739208
229	0.4548701603
230	0.454850854
231	0.4548411016
232	0.4548287789
233	0.4548198778
234	0.4548002419
235	0.4547971949
236	0.4547717784
237	0.4547539978
238	0.4547492824
239	0.454726464
240	0.454709282
241	0.4546898187
242	0.4546707784
243	0.4546392996
244	0.4546208107
245	0.4546135813
246	0.4545647089
247	0.454554163
248	0.4545420174
249	0.4545190932
250	0.4544908673
251	0.4544818171
252	0.4544651358
253	0.4544447691
254	0.4544200286
255	0.4544033994
256	0.4543829591
257	0.4543688811
258	0.4543145519
259	0.4543059422
260	0.4542948303
261	0.454293905
262	0.4542595518
263	0.4542440616
264	0.4542246683
265	0.4542137361
266	0.4541902537
267	0.4541750817
