iter	Passed	Remaining
0	164	164405
1	169	84578
2	174	57966
3	180	44859
4	185	36891
5	192	31861
6	197	28059
7	204	25330
8	215	23740
9	226	22375
10	244	21985
11	276	22754
12	285	21694
13	293	20662
14	298	19591
15	303	18652
16	308	17819
17	312	17060
18	318	16425
19	324	15892
20	328	15313
21	332	14800
22	336	14292
23	340	13866
24	344	13446
25	348	13067
26	353	12756
27	358	12447
28	362	12153
29	367	11890
30	373	11673
31	378	11443
32	383	11237
33	389	11065
34	394	10886
35	399	10703
36	407	10608
37	413	10469
38	420	10371
39	425	10221
40	429	10047
41	434	9907
42	439	9781
43	443	9645
44	448	9514
45	453	9395
46	457	9268
47	461	9157
48	466	9050
49	470	8942
50	475	8842
51	479	8737
52	484	8663
53	489	8576
54	493	8483
55	498	8396
56	501	8299
57	505	8203
58	508	8114
59	512	8032
60	517	7971
61	522	7910
62	527	7842
63	532	7782
64	537	7728
65	541	7657
66	545	7591
67	549	7532
68	553	7466
69	557	7401
70	560	7332
71	564	7279
72	571	7253
73	577	7229
74	582	7189
75	589	7164
76	594	7122
77	600	7096
78	605	7058
79	609	7014
80	615	6982
81	619	6933
82	624	6894
83	630	6870
84	633	6823
85	637	6776
86	641	6727
87	645	6685
88	648	6642
89	653	6605
90	656	6561
91	660	6521
92	664	6480
93	668	6439
94	672	6402
95	677	6383
96	682	6349
97	686	6317
98	690	6282
99	694	6252
100	698	6218
101	703	6194
102	708	6169
103	712	6142
104	720	6141
105	727	6133
106	733	6120
107	737	6095
108	744	6086
109	750	6074
110	757	6062
111	764	6062
112	770	6048
113	775	6026
114	782	6019
115	787	6002
116	794	5993
117	800	5986
118	808	5984
119	814	5974
120	821	5969
121	827	5954
122	833	5942
123	839	5932
124	846	5923
125	851	5905
126	860	5918
127	871	5937
128	880	5945
129	889	5952
130	898	5960
131	905	5951
132	914	5959
133	926	5984
134	932	5973
135	937	5956
136	942	5939
137	948	5925
138	954	5912
139	960	5897
140	966	5888
141	974	5887
142	980	5874
143	987	5871
144	992	5854
145	998	5842
146	1005	5836
147	1011	5825
148	1019	5820
149	1024	5807
150	1030	5793
151	1036	5781
152	1041	5766
153	1046	5748
154	1051	5733
155	1057	5722
156	1063	5712
157	1069	5699
158	1075	5686
159	1080	5673
160	1087	5667
161	1093	5658
162	1101	5654
163	1106	5642
164	1112	5630
165	1119	5622
166	1125	5612
167	1130	5600
168	1135	5585
169	1141	5573
170	1147	5563
171	1152	5550
172	1157	5534
173	1163	5521
174	1169	5512
175	1175	5502
176	1181	5493
177	1187	5481
178	1192	5470
179	1198	5458
180	1203	5444
181	1208	5431
182	1214	5422
183	1220	5411
184	1226	5401
185	1232	5394
186	1238	5386
187	1245	5379
188	1251	5368
189	1257	5360
190	1263	5351
191	1269	5341
192	1275	5332
193	1280	5319
194	1285	5305
195	1291	5298
196	1298	5291
197	1305	5289
198	1313	5288
199	1320	5281
200	1331	5292
201	1337	5284
202	1344	5277
203	1350	5270
204	1357	5265
205	1364	5257
206	1371	5252
207	1377	5245
208	1384	5239
209	1390	5229
210	1396	5222
211	1403	5214
212	1409	5208
213	1416	5204
214	1423	5196
215	1430	5191
216	1435	5179
217	1441	5169
218	1446	5158
219	1451	5146
220	1458	5141
221	1464	5132
222	1470	5123
223	1475	5112
224	1482	5106
225	1488	5096
226	1493	5087
227	1499	5075
228	1505	5068
229	1510	5058
230	1516	5049
231	1522	5039
232	1527	5027
233	1532	5018
234	1539	5010
235	1544	5000
236	1551	4996
237	1557	4986
238	1562	4974
239	1568	4966
240	1574	4960
241	1581	4952
242	1589	4952
243	1595	4944
244	1602	4938
245	1608	4931
246	1614	4921
247	1620	4913
248	1626	4904
249	1632	4897
250	1638	4888
251	1643	4879
252	1650	4873
253	1656	4863
254	1662	4857
255	1668	4849
256	1674	4842
257	1680	4834
258	1687	4828
259	1692	4818
260	1698	4809
261	1703	4797
262	1709	4789
263	1716	4784
264	1730	4801
265	1736	4791
266	1742	4782
267	1748	4775
268	1753	4764
269	1758	4755
270	1764	4745
271	1770	4738
272	1776	4731
273	1783	4726
274	1789	4718
275	1801	4724
276	1808	4719
277	1817	4719
278	1823	4712
279	1830	4707
280	1837	4700
281	1842	4691
282	1848	4683
283	1853	4672
284	1859	4665
285	1864	4655
286	1869	4645
287	1875	4637
288	1881	4628
289	1887	4620
290	1893	4613
291	1899	4606
292	1906	4600
293	1913	4594
294	1919	4587
295	1925	4578
296	1930	4570
297	1935	4559
298	1941	4552
299	1947	4543
300	1952	4535
301	1958	4526
302	1964	4519
303	1971	4512
304	1977	4505
305	1982	4495
306	1987	4486
307	1993	4480
308	1998	4470
309	2004	4460
310	2008	4450
311	2013	4439
312	2017	4428
313	2022	4419
314	2026	4407
315	2030	4394
316	2033	4381
317	2038	4372
318	2042	4361
319	2046	4348
320	2050	4337
321	2055	4328
322	2060	4318
323	2064	4307
324	2070	4299
325	2074	4289
326	2078	4277
327	2082	4265
328	2086	4255
329	2090	4243
330	2093	4231
331	2096	4218
332	2100	4207
333	2103	4195
334	2107	4184
335	2111	4172
336	2115	4162
337	2120	4154
338	2125	4144
339	2129	4132
340	2133	4122
341	2137	4112
342	2141	4102
343	2146	4092
344	2150	4082
345	2153	4071
346	2157	4060
347	2161	4049
348	2164	4037
349	2168	4028
350	2173	4018
351	2177	4008
352	2181	3999
353	2186	3989
354	2190	3979
355	2193	3968
356	2197	3958
357	2202	3949
358	2208	3942
359	2212	3933
360	2218	3926
361	2221	3915
362	2225	3904
363	2229	3895
364	2235	3888
365	2239	3879
366	2243	3870
367	2248	3861
368	2253	3852
369	2257	3844
370	2262	3836
371	2267	3827
372	2271	3818
373	2276	3809
374	2281	3802
375	2284	3791
376	2288	3782
377	2293	3773
378	2298	3766
379	2302	3757
380	2306	3748
381	2311	3740
382	2316	3732
383	2321	3724
384	2326	3715
385	2331	3707
386	2335	3699
387	2340	3691
388	2346	3686
389	2352	3679
390	2356	3670
391	2361	3662
392	2365	3652
393	2368	3643
394	2373	3634
395	2377	3626
396	2381	3617
397	2385	3608
398	2389	3598
399	2393	3589
400	2397	3581
401	2401	3572
402	2406	3564
403	2410	3555
404	2414	3547
405	2418	3538
406	2422	3529
407	2426	3520
408	2430	3511
409	2433	3501
410	2437	3492
411	2440	3483
412	2444	3474
413	2448	3466
414	2452	3457
415	2457	3449
416	2461	3441
417	2466	3433
418	2470	3425
419	2474	3417
420	2479	3409
421	2482	3400
422	2486	3392
423	2490	3383
424	2494	3375
425	2498	3366
426	2501	3357
427	2506	3349
428	2510	3341
429	2514	3333
430	2518	3325
431	2523	3318
432	2527	3309
433	2531	3301
434	2535	3293
435	2540	3285
436	2545	3278
437	2549	3271
438	2553	3263
439	2557	3255
440	2561	3246
441	2565	3238
442	2570	3231
443	2574	3224
444	2578	3216
445	2583	3208
446	2587	3200
447	2592	3193
448	2595	3185
449	2599	3177
450	2604	3170
451	2608	3162
452	2612	3154
453	2617	3147
454	2621	3139
455	2625	3131
456	2629	3123
457	2632	3115
458	2636	3107
459	2640	3099
460	2643	3091
461	2647	3083
462	2652	3075
463	2656	3068
464	2660	3060
465	2664	3053
466	2668	3045
467	2672	3037
468	2676	3030
469	2680	3023
470	2685	3015
471	2690	3010
472	2695	3003
473	2701	2998
474	2708	2993
475	2713	2987
476	2717	2979
477	2721	2972
478	2725	2964
479	2729	2956
480	2733	2949
481	2737	2941
482	2741	2934
483	2745	2927
484	2750	2920
485	2753	2912
486	2758	2905
487	2762	2897
488	2766	2891
489	2770	2883
490	2773	2875
491	2777	2868
492	2783	2862
493	2788	2855
494	2792	2848
495	2798	2843
496	2802	2836
497	2807	2829
498	2812	2824
499	2818	2818
500	2823	2812
501	2828	2806
502	2833	2799
503	2837	2792
504	2840	2784
505	2845	2777
506	2849	2770
507	2853	2763
508	2857	2756
509	2861	2749
510	2864	2741
511	2867	2733
512	2871	2725
513	2875	2718
514	2879	2711
515	2883	2704
516	2887	2697
517	2892	2691
518	2898	2685
519	2902	2679
520	2906	2672
521	2911	2666
522	2915	2658
523	2919	2652
524	2924	2646
525	2929	2640
526	2934	2633
527	2939	2627
528	2944	2621
529	2948	2615
530	2953	2608
531	2957	2601
532	2961	2595
533	2966	2588
534	2971	2582
535	2976	2576
536	2980	2570
537	2985	2563
538	2990	2557
539	2995	2551
540	2999	2545
541	3004	2538
542	3010	2533
543	3014	2527
544	3018	2520
545	3023	2513
546	3028	2507
547	3032	2501
548	3037	2495
549	3042	2489
550	3046	2482
551	3051	2476
552	3055	2469
553	3060	2463
554	3065	2457
555	3069	2451
556	3074	2445
557	3078	2438
558	3083	2432
559	3089	2427
560	3094	2421
561	3099	2415
562	3104	2410
563	3110	2404
564	3114	2398
565	3119	2391
566	3124	2385
567	3129	2380
568	3134	2374
569	3140	2368
570	3145	2363
571	3151	2358
572	3156	2351
573	3160	2345
574	3165	2339
575	3172	2335
576	3176	2328
577	3181	2322
578	3186	2316
579	3192	2312
580	3197	2306
581	3204	2301
582	3210	2296
583	3215	2290
584	3221	2285
585	3225	2278
586	3229	2272
587	3233	2265
588	3238	2260
589	3243	2254
590	3249	2248
591	3254	2242
592	3258	2236
593	3263	2230
594	3268	2224
595	3273	2218
596	3278	2213
597	3283	2207
598	3288	2201
599	3293	2195
600	3299	2190
601	3303	2184
602	3308	2178
603	3313	2172
604	3317	2165
605	3322	2159
606	3325	2153
607	3330	2147
608	3335	2141
609	3339	2135
610	3343	2128
611	3347	2122
612	3351	2115
613	3354	2108
614	3358	2102
615	3362	2095
616	3365	2089
617	3369	2082
618	3372	2075
619	3376	2069
620	3380	2063
621	3384	2056
622	3387	2050
623	3391	2043
624	3395	2037
625	3399	2031
626	3403	2024
627	3407	2018
628	3411	2012
629	3416	2006
630	3420	2000
631	3424	1994
632	3429	1988
633	3432	1981
634	3436	1975
635	3440	1968
636	3444	1963
637	3449	1957
638	3453	1950
639	3456	1944
640	3461	1938
641	3464	1931
642	3468	1925
643	3472	1919
644	3476	1913
645	3480	1907
646	3484	1900
647	3487	1894
648	3491	1888
649	3495	1882
650	3498	1875
651	3502	1869
652	3506	1863
653	3510	1857
654	3514	1851
655	3517	1844
656	3522	1838
657	3526	1832
658	3530	1826
659	3534	1820
660	3538	1814
661	3543	1809
662	3547	1803
663	3552	1797
664	3557	1792
665	3561	1786
666	3567	1780
667	3571	1774
668	3576	1769
669	3581	1764
670	3587	1759
671	3597	1755
672	3601	1750
673	3607	1744
674	3612	1739
675	3616	1733
676	3620	1727
677	3625	1722
678	3632	1717
679	3636	1711
680	3642	1706
681	3647	1700
682	3651	1694
683	3657	1689
684	3664	1684
685	3668	1679
686	3675	1674
687	3681	1669
688	3685	1663
689	3692	1659
690	3696	1653
691	3700	1647
692	3706	1642
693	3711	1636
694	3715	1630
695	3721	1625
696	3729	1621
697	3733	1615
698	3741	1611
699	3748	1606
700	3755	1601
701	3760	1596
702	3763	1590
703	3768	1584
704	3774	1579
705	3778	1573
706	3782	1567
707	3789	1563
708	3793	1557
709	3796	1550
710	3801	1545
711	3806	1539
712	3810	1533
713	3814	1528
714	3821	1523
715	3825	1517
716	3829	1511
717	3836	1506
718	3840	1501
719	3845	1495
720	3850	1489
721	3856	1484
722	3860	1478
723	3864	1473
724	3869	1467
725	3874	1462
726	3879	1456
727	3885	1451
728	3890	1446
729	3894	1440
730	3901	1435
731	3906	1430
732	3911	1424
733	3918	1420
734	3923	1414
735	3928	1409
736	3936	1404
737	3941	1399
738	3946	1393
739	3952	1388
740	3957	1383
741	3963	1378
742	3970	1373
743	3975	1368
744	3985	1364
745	3990	1358
746	3995	1353
747	4001	1348
748	4005	1342
749	4009	1336
750	4017	1332
751	4022	1326
752	4027	1320
753	4032	1315
754	4036	1309
755	4040	1304
756	4045	1298
757	4051	1293
758	4055	1287
759	4061	1282
760	4067	1277
761	4072	1271
762	4079	1267
763	4086	1262
764	4091	1256
765	4097	1251
766	4102	1246
767	4108	1241
768	4114	1235
769	4118	1230
770	4124	1225
771	4131	1220
772	4136	1214
773	4142	1209
774	4146	1203
775	4152	1198
776	4158	1193
777	4164	1188
778	4167	1182
779	4173	1177
780	4179	1171
781	4183	1166
782	4187	1160
783	4193	1155
784	4198	1149
785	4205	1144
786	4211	1139
787	4216	1134
788	4222	1129
789	4228	1124
790	4232	1118
791	4237	1112
792	4243	1107
793	4247	1102
794	4253	1096
795	4261	1092
796	4265	1086
797	4270	1081
798	4276	1075
799	4281	1070
800	4286	1064
801	4291	1059
802	4295	1053
803	4299	1048
804	4305	1042
805	4309	1037
806	4313	1031
807	4319	1026
808	4325	1021
809	4330	1015
810	4338	1011
811	4343	1005
812	4347	1000
813	4354	994
814	4358	989
815	4362	983
816	4368	978
817	4372	972
818	4375	967
819	4379	961
820	4383	955
821	4389	950
822	4423	951
823	4430	946
824	4440	941
825	4445	936
826	4451	931
827	4457	925
828	4463	920
829	4469	915
830	4475	910
831	4480	904
832	4485	899
833	4489	893
834	4494	888
835	4500	882
836	4504	877
837	4509	871
838	4516	866
839	4523	861
840	4529	856
841	4534	850
842	4538	845
843	4542	839
844	4547	834
845	4551	828
846	4556	823
847	4561	817
848	4565	812
849	4570	806
850	4575	801
851	4580	795
852	4585	790
853	4589	784
854	4594	779
855	4599	773
856	4603	768
857	4609	762
858	4615	757
859	4619	752
860	4625	746
861	4634	741
862	4641	736
863	4648	731
